location,subject,year,creator,type,attribution,village-stenciled,taupe-barn,steamboat,hat-tree,birds,fallen-tree,pair-tree,horses,dogs,deer,militia,farm,ferns,white-house,three-buildings,nocenter-tree,chair-rail,fence,skiff,village-handpaint,cows,windmill,observatory,woods,octagon,waterfall,border-stenciled,man-shooting,red-house,orchard,sumac,signpost,galleon,moountains,half-tree,sailboats
"Harvard, MA",Harvard Inn,1830,Porter School,mural,Lipman,,,,,,,,T,,,,,,T,,,T,,,,,,,T,,,,,,,,,,,,T
"Buckfield, ME",Tobias Ricker House,1835,Porter School,mural,Lefko,,,,,T,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,
"Thornton, NH",Hackett House,1810,Bears and Pears Artist,mural,Lefko,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,T
"Westwood, MA",Reuben Guild House,1838,Rufus Porter and Stephen Twombly Porter,mural,Lipman,,,,,,,,,,,,,T,T,,,T,,,,,,,T,T,,,,,,,,,,,
"Littleton, NH",Littleton Inn,1810,Bears and Pears Artist,mural,Lefko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Reading, MA",Damon Tavern,1835,Porter School,mural,Lipman,,,,,,,,T,,,,,T,,,,,T,,,,,,,,,,,,,,,,,,T
"Readfield, ME",Captain Dudley Haines House,1835,Jonathan D. Poor,mural,tradition,,T,,,T,T,,,,,,,,,,,,,,,,,T,,,,,,,T,,,T,,T,T
"Fayette, ME",Lieutenant John Lovejoy House,1835,Jonathan D. Poor,mural,tradition,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,T,,,,,,,
"East Bath, NH",Noyes-Ide House,1825,Porter School,mural,Lefko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harvard, MA",William A. Potter House,1830,Porter School,mural,Lipman,,,,,,,,,,,,,T,T,,,,,,,,T,,,,,,,,,,,,,,
"Fryeburg, ME",Barrows Homestead,1830,Rufus Porter and Jonathan D. Poor,mural,Lipman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,T,,,T
"Naples, ME",Perley House,1830,Porter School,mural,Lefko,T,T,,,,,,,,,,,,,,,T,,T,,,,,,,,,,T,T,,,T,,T,
"West Boxford, MA",John A. Andrew House,1838,Porter School,mural,Lipman,,,T,,,,,,,,,T,T,,,,,T,T,,,,T,,,,,,,,,,,,,T
"Hancock, NH",Elijah Wyman House,1825,Porter School,mural,Lefko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T
