subject,town,state,year,creator,type,attribution,image,img_src,location,popup,icon,choice,lat,lng,geometry
Dyer House,Billerica,MA,1830,Porter School,mural,Lipman,NA,NA,"Billerica, MA","<b>Dyer House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.5599506306535,-71.2663618635583,"c(42.5599506306535, -71.2663618635583)"
Manning Manse,Billerica,MA,1830,Porter School,mural,Lipman,NA,NA,"Billerica, MA","<b>Manning Manse</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.5589488343033,-71.2645250853246,"c(42.5589488343033, -71.2645250853246)"
Ingalls-Colby House,East Haverhill,MA,1830,Porter School,mural,Lipman,http://s3.amazonaws.com/afanews_articles/01019/FIG-3_-%281.7-pg.png,"""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe","East Haverhill, MA","<b>Ingalls-Colby House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='http://s3.amazonaws.com/afanews_articles/01019/FIG-3_-%281.7-pg.png', width = '200'><br><small>Image from ""Rediscovering the Murals of Jonathan D. Poor"" by Jane E. Radcliffe</small>",school,school,42.7475154006099,-71.0927762497505,"c(42.7475154006099, -71.0927762497505)"
Harold Stacey House,Groveland,MA,1830,Porter School,mural,Lipman,NA,NA,"Groveland, MA","<b>Harold Stacey House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.7589449167938,-71.0335375484846,"c(42.7589449167938, -71.0335375484846)"
Savery Homestead,Groveland,MA,1830,Porter School,mural,Lipman,https://docs.google.com/drawings/d/e/2PACX-1vSENp1y4L9MtaUwLpdL2QRYbTb-0utJuJjlIX1OeY0YiTfabCTN0YkeaMpEsSjgITMsEeGzyiJWhndy/pub?w=960&h=720,<em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe,"Groveland, MA","<b>Savery Homestead</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='https://docs.google.com/drawings/d/e/2PACX-1vSENp1y4L9MtaUwLpdL2QRYbTb-0utJuJjlIX1OeY0YiTfabCTN0YkeaMpEsSjgITMsEeGzyiJWhndy/pub?w=960&h=720', width = '200'><br><small>Image from <em>Folk Art Murals of the Rufus Porter School </em> by Linda Carter Lefko and Jane E. Radcliffe</small>",school,school,42.7634324074045,-71.0395084604028,"c(42.7634324074045, -71.0395084604028)"
Spofford House,Groveland,MA,1830,Porter School,mural,Lipman,NA,NA,"Groveland, MA","<b>Spofford House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.7588121675611,-71.0189147035332,"c(42.7588121675611, -71.0189147035332)"
Edna Worthing Cottage,Groveland,MA,1830,Porter School,mural,Lipman,NA,NA,"Groveland, MA","<b>Edna Worthing Cottage</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.7567001555152,-71.0350430476631,"c(42.7567001555152, -71.0350430476631)"
R. Raynond Warren Apartments,Harvard,MA,1830,Porter School,mural,Lipman,NA,NA,"Harvard, MA","<b>R. Raynond Warren Apartments</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.4970002428386,-71.5761401074537,"c(42.4970002428386, -71.5761401074537)"
Wallace F. Bryant Estate Apartments (Whitney house),Harvard,MA,1830,Porter School,mural,Lipman,NA,NA,"Harvard, MA","<b>Wallace F. Bryant Estate Apartments (Whitney house)</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.5025435925167,-71.57544343846,"c(42.5025435925167, -71.57544343846)"
Joshua Simons House,Lexington,MA,1830,Porter School,mural,Lipman,NA,NA,"Lexington, MA","<b>Joshua Simons House</b><br>Attributed to Porter School by Jean Lipman<br>Circa 1830<br><img src='NA', width = '200'><br><small>Image from NA</small>",school,school,42.450873640193,-71.2222001536786,"c(42.450873640193, -71.2222001536786)"
