town,state,year,subject,creator,type,attribution,image,fig_num,location,popup,geometry,icon
Hancock,NH,1825,Patricia Holsaert House,Porter School,mural,Lipman,NA,"color plate 6, color plate 7","Hancock, NH","<b> Hancock, NH </b> <br> Porter School <br> Patricia Holsaert House","c(-71.9700921864445, 42.9743754233836)",school
Hancock,NH,1825,Cynthia Porter Weston House,Porter School,mural,Lipman,NA,NA,"Hancock, NH","<b> Hancock, NH </b> <br> Porter School <br> Cynthia Porter Weston House","c(-71.9882614623428, 42.9677774933324)",school
Hancock,NH,1825,John Hancock Inn,Porter School,mural,Lipman,NA,NA,"Hancock, NH","<b> Hancock, NH </b> <br> Porter School <br> John Hancock Inn","c(-71.9841537354712, 42.9809595858259)",school
Haverhill,NH,1825,Grace D. Wilson-Lavery House,Porter School,mural,Lipman,NA,NA,"Haverhill, NH","<b> Haverhill, NH </b> <br> Porter School <br> Grace D. Wilson-Lavery House","c(-72.0645347279502, 44.0396770697442)",school
Langdon,NH,1824,Bidwell Tavern,Porter School,mural,Lipman,NA,"63, 64","Langdon, NH","<b> Langdon, NH </b> <br> Porter School <br> Bidwell Tavern","c(-72.3776143054071, 43.1609276016845)",school
Lyme,NH,1825,Frederick Wagner House,Porter School,mural,Lipman,NA,"45, 69","Lyme, NH","<b> Lyme, NH </b> <br> Porter School <br> Frederick Wagner House","c(-72.1513302718827, 43.7986303889198)",school
Lyme,NH,1825,Dennis House,Porter School,mural,Lipman,NA,NA,"Lyme, NH","<b> Lyme, NH </b> <br> Porter School <br> Dennis House","c(-72.1551416360558, 43.8153894852627)",school
Lyme,NH,1825,Perkins-Simmons House,Porter School,mural,Lipman,NA,NA,"Lyme, NH","<b> Lyme, NH </b> <br> Porter School <br> Perkins-Simmons House","c(-72.1618430762897, 43.8135846666524)",school
Lyme,NH,1825,Kent-Mativia House,Porter School,mural,Lipman,NA,NA,"Lyme, NH","<b> Lyme, NH </b> <br> Porter School <br> Kent-Mativia House","c(-72.1473911138209, 43.8143819756881)",school
Mason,NH,1825,Asher Tarbell House,Porter School,mural,Lipman,NA,NA,"Mason, NH","<b> Mason, NH </b> <br> Porter School <br> Asher Tarbell House","c(-71.7625811073053, 42.7301404711463)",school
