town,state,year,subject,creator,type,attribution,image,fig_num,location,popup,geometry,icon
Dover,NH,1825,Neighborhood House,Porter School,mural,Lipman,NA,NA,"Dover, NH","<b> Dover, NH </b> <br> Porter School <br> Neighborhood House","c(-70.8648476394393, 43.2099321697381)",school
East Jaffrey,NH,1824,Prescott Tavern,Porter School,mural,Lipman,"""images/RP_JaffreyNH.jpg""","55, 56, color plate 1, color plate 2","East Jaffrey, NH","<b> East Jaffrey, NH </b> <br> Porter School <br> Prescott Tavern","c(-72.0215386314348, 42.822910506115)",school
East Jaffrey,NH,1824,Don Pierce House,Porter School,mural,Lipman,NA,NA,"East Jaffrey, NH","<b> East Jaffrey, NH </b> <br> Porter School <br> Don Pierce House","c(-72.0182623651433, 42.8206120597922)",school
Greenfield,NH,1825,Squire Craigin House,Porter School,mural,Lipman,NA,NA,"Greenfield, NH","<b> Greenfield, NH </b> <br> Porter School <br> Squire Craigin House","c(-71.8785739151811, 42.96115891427)",school
Greenfield,NH,1825,James T. Garvin House,Porter School,mural,Lipman,NA,NA,"Greenfield, NH","<b> Greenfield, NH </b> <br> Porter School <br> James T. Garvin House","c(-71.8695333880419, 42.9442020842586)",school
Greenfield,NH,1825,Eliot Hutchinson House,Porter School,mural,Lipman,NA,NA,"Greenfield, NH","<b> Greenfield, NH </b> <br> Porter School <br> Eliot Hutchinson House","c(-71.8775498165901, 42.9371783236748)",school
Hancock,NH,1824,Miss Mary and Dr. Fredrika Moore House,Porter School,mural,Lipman,NA,NA,"Hancock, NH","<b> Hancock, NH </b> <br> Porter School <br> Miss Mary and Dr. Fredrika Moore House","c(-71.9836004950035, 42.9743728055707)",school
Hancock,NH,1825,Patricia Holsaert House,Porter School,mural,Lipman,NA,"color plate 6, color plate 7","Hancock, NH","<b> Hancock, NH </b> <br> Porter School <br> Patricia Holsaert House","c(-71.9831348597659, 42.9628470298652)",school
Hancock,NH,1825,Cynthia Porter Weston House,Porter School,mural,Lipman,NA,NA,"Hancock, NH","<b> Hancock, NH </b> <br> Porter School <br> Cynthia Porter Weston House","c(-71.9784821909044, 42.9857285963367)",school
Hancock,NH,1825,John Hancock Inn,Porter School,mural,Lipman,NA,NA,"Hancock, NH","<b> Hancock, NH </b> <br> Porter School <br> John Hancock Inn","c(-71.9852953575416, 42.9838155045513)",school
Haverhill,NH,1825,Grace D. Wilson-Lavery House,Porter School,mural,Lipman,NA,NA,"Haverhill, NH","<b> Haverhill, NH </b> <br> Porter School <br> Grace D. Wilson-Lavery House","c(-72.0662710968609, 44.0370550580297)",school
Langdon,NH,1824,Bidwell Tavern,Porter School,mural,Lipman,NA,"63, 64","Langdon, NH","<b> Langdon, NH </b> <br> Porter School <br> Bidwell Tavern","c(-72.3796077100172, 43.1692140537461)",school
Lyme,NH,1825,Frederick Wagner House,Porter School,mural,Lipman,NA,"45, 69","Lyme, NH","<b> Lyme, NH </b> <br> Porter School <br> Frederick Wagner House","c(-72.1592573940641, 43.7971032001422)",school
Lyme,NH,1825,Dennis House,Porter School,mural,Lipman,NA,NA,"Lyme, NH","<b> Lyme, NH </b> <br> Porter School <br> Dennis House","c(-72.1592426743554, 43.8221533181095)",school
Lyme,NH,1825,Perkins-Simmons House,Porter School,mural,Lipman,NA,NA,"Lyme, NH","<b> Lyme, NH </b> <br> Porter School <br> Perkins-Simmons House","c(-72.1579555120718, 43.8006761044808)",school
Lyme,NH,1825,Kent-Mativia House,Porter School,mural,Lipman,NA,NA,"Lyme, NH","<b> Lyme, NH </b> <br> Porter School <br> Kent-Mativia House","c(-72.15595402968, 43.8095276031069)",school
Mason,NH,1825,Asher Tarbell House,Porter School,mural,Lipman,NA,NA,"Mason, NH","<b> Mason, NH </b> <br> Porter School <br> Asher Tarbell House","c(-71.776482838121, 42.7295174700153)",school
Mason,NH,1825,Jonathan Batchelder House,Porter School,mural,Lipman,NA,NA,"Mason, NH","<b> Mason, NH </b> <br> Porter School <br> Jonathan Batchelder House","c(-71.7752656000016, 42.756766614325)",school
Mason,NH,1825,Joseph Saunders House,Porter School,mural,Lipman,NA,NA,"Mason, NH","<b> Mason, NH </b> <br> Porter School <br> Joseph Saunders House","c(-71.7696379637883, 42.7360996996587)",school
New Ipswich,NH,1825,Solomon Russell House,Porter School,mural,Lipman,NA,NA,"New Ipswich, NH","<b> New Ipswich, NH </b> <br> Porter School <br> Solomon Russell House","c(-71.8821610682755, 42.7287502461818)",school
New Ipswich,NH,1825,Gardner Davis House,Porter School,mural,Lipman,NA,"58, 59","New Ipswich, NH","<b> New Ipswich, NH </b> <br> Porter School <br> Gardner Davis House","c(-71.8795462846384, 42.7465457831153)",school
New Ipswich,NH,1825,Gould-Chickering House,Porter School,mural,Lipman,NA,NA,"New Ipswich, NH","<b> New Ipswich, NH </b> <br> Porter School <br> Gould-Chickering House","c(-71.88354760697, 42.736360380037)",school
North Haverhill,NH,1825,Daniel Carr House,Porter School,mural,Lipman,NA,"67, 68","North Haverhill, NH","<b> North Haverhill, NH </b> <br> Porter School <br> Daniel Carr House","c(-72.0175231031889, 44.0760986581669)",school
North Haverhill,NH,1825,Harold Kimball House,Porter School,mural,Lipman,NA,NA,"North Haverhill, NH","<b> North Haverhill, NH </b> <br> Porter School <br> Harold Kimball House","c(-72.0136773594777, 44.0899816675407)",school
North Haverhill,NH,1825,Leslie Lackie House,Porter School,mural,Lipman,NA,NA,"North Haverhill, NH","<b> North Haverhill, NH </b> <br> Porter School <br> Leslie Lackie House","c(-72.0176064215784, 44.0973936692105)",school
Orford,NH,1824,Beale House,Porter School,mural,Lipman,NA,NA,"Orford, NH","<b> Orford, NH </b> <br> Porter School <br> Beale House","c(-72.1406066943073, 43.9106223747273)",school
Topsham,VT,1831,Elwin Chase House,Porter School,mural,Lipman,NA,color plate 10,"Topsham, VT","<b> Topsham, VT </b> <br> Porter School <br> Elwin Chase House","c(-72.2477575854114, 44.1166752736434)",school
Princeton,MA,1833,Colonel Jacob W. Watson,Rufus Porter,portrait,MFA,"""images/colonel_watson.jpg""",NA,"Princeton, MA","<b> Princeton, MA </b> <br> Rufus Porter <br> Colonel Jacob W. Watson","c(-71.8759338795596, 42.4538797651908)",portrait
Princeton,MA,1833,Lydia Watson,Rufus Porter,portrait,MFA,"""images/lydia_watson.jpg""",NA,"Princeton, MA","<b> Princeton, MA </b> <br> Rufus Porter <br> Lydia Watson","c(-71.8795813216053, 42.4352083460229)",portrait
Minot,ME,1815,Jacob Davis,Rufus Porter,portrait,MFA,"""images/jacob_davis.jpg""",NA,"Minot, ME","<b> Minot, ME </b> <br> Rufus Porter <br> Jacob Davis","c(-70.3508513915319, 44.1586136814316)",portrait
Winthrop,ME,1830,Captain Samuel Benjamin House,Porter School,mural,MSM,NA,color plate 13,"Winthrop, ME","<b> Winthrop, ME </b> <br> Porter School <br> Captain Samuel Benjamin House","c(-69.968848392252, 44.3083284351091)",school
Sturbridge,MA,1830,Oliver Wight House,Porter School,mural,OSV,NA,NA,"Sturbridge, MA","<b> Sturbridge, MA </b> <br> Porter School <br> Oliver Wight House","c(-72.0859047993225, 42.1160138920975)",school
